#SampleID	SRR3931522	SRR3931523	SRR3931524	SRR3931525	SRR3931526	SRR3931527	SRR3931528	SRR3931529	SRR3931530	SRR3931531	SRR3931532	SRR3931533	SRR3931534	SRR3931535	SRR3931536	SRR3931537	SRR3931538	SRR3931539	SRR3931540	SRR3931541	SRR3931542	SRR3931543	SRR3931544	SRR3931545	SRR3931546	SRR3931547	SRR3931548	SRR3931549	SRR3931550	SRR3931551	SRR3931552	SRR3931553	SRR3931554	SRR3931555	SRR3931556	SRR3931557	SRR3931558
sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga	683.0	1824.0	218.0	380.0	943.0	235.0	895.0	484.0	355.0	1203.0	714.0	838.0	664.0	280.0	767.0	474.0	1196.0	2190.0	814.0	453.0	1851.0	414.0	156.0	976.0	850.0	384.0	359.0	876.0	1131.0	243.0	571.0	178.0	597.0	598.0	1029.0	1297.0	958.0
sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__Capnocytophaga_gingivalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__Capnocytophaga_ochracea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0
sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__Capnocytophaga_sp._oral_clone_DZ074	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__Capnocytophaga_sputigena	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Candidatus_Gracilibacteria	0	0	0	0	1.0	0	3.0	0	1.0	1.0	0	7.0	2.0	2.0	0	4.0	0	0	0	0	0	0	5.0	0	5.0	1.0	1.0	3.0	3.0	0	0	0	0	0	0	1.0	0
sk__Bacteria;k__;p__Candidatus_Saccharibacteria	1.0	0	0	1.0	0	3.0	0	0	0	0	0	0	1.0	0	7.0	0	0	0	4.0	0	0	6.0	2.0	0	0	0	3.0	0	0	15.0	0	1.0	0	0	0	0	0
sk__Bacteria;k__;p__Candidatus_Saccharibacteria;c__;o__;f__;g__;s__TM7_phylum_sp._oral_clone_BU080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Candidatus_Saccharibacteria;c__;o__;f__;g__Candidatus_Saccharimonas	0	0	0	0	0	2.0	0	2.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	1.0	0
sk__Bacteria;k__;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0
sk__Bacteria;k__;p__Chloroflexi	2.0	1.0	0	1.0	0	0	0	23.0	159.0	1.0	8.0	3.0	0	0	1.0	2.0	0	0	1.0	1.0	2.0	2.0	20.0	0	0	0	1.0	0	0	13.0	0	1.0	0	0	0	1.0	0
sk__Bacteria;k__;p__Chloroflexi;c__Anaerolineae	1.0	0	0	0	0	0	0	8.0	56.0	1.0	2.0	0	0	0	0	0	0	0	0	0	0	2.0	5.0	0	0	0	1.0	0	0	7.0	0	0	0	0	0	0	1.0
sk__Bacteria;k__;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae	0	0	0	0	0	0	0	4.0	58.0	2.0	1.0	0	0	0	0	0	0	0	1.0	0	0	2.0	4.0	0	0	0	1.0	0	0	7.0	0	0	0	0	0	1.0	0
sk__Bacteria;k__;p__Cyanobacteria	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Deferribacteres;c__Deferribacteres	1.0	0	0	14.0	1.0	0	0	16.0	9.0	6.0	15.0	1.0	2.0	1.0	0	1.0	0	0	1.0	0	0	0	5.0	0	1.0	0	2.0	1.0	0	10.0	1.0	0	0	0	0	2.0	0
sk__Bacteria;k__;p__Elusimicrobia;c__Elusimicrobia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Elusimicrobia;c__Endomicrobia;o__Endomicrobiales;f__Endomicrobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	9.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Firmicutes	1.0	15.0	0	3.0	0	5.0	2.0	10.0	19.0	4.0	13.0	1.0	1.0	8.0	40.0	5.0	0	7.0	8.0	20.0	1.0	12.0	12.0	2.0	2.0	0	11.0	1.0	2.0	8.0	2.0	1.0	2.0	0	3.0	7.0	1.0
sk__Bacteria;k__;p__Firmicutes;c__Bacilli	0	1.0	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0	1.0	0	1.0	0	4.0	0	0	1.0	1.0	1.0	0	0	0	0	0	2.0	1.0	0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Bacillales	0	5.0	0	1.0	1.0	0	0	1.0	0	0	2.0	1.0	1.0	0	0	0	0	5.0	0	1.0	5.0	0	0	12.0	2.0	2.0	0	4.0	1.0	0	2.0	5.0	6.0	0	0	4.0	0
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Bacillales;f__;g__Gemella	102.0	337.0	4.0	51.0	123.0	17.0	136.0	31.0	91.0	44.0	104.0	36.0	35.0	64.0	22.0	16.0	13.0	136.0	64.0	13.0	187.0	19.0	67.0	443.0	43.0	65.0	25.0	118.0	88.0	11.0	90.0	128.0	234.0	18.0	6.0	201.0	2.0
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Lactobacillales	7.0	12.0	5.0	4.0	15.0	8.0	3.0	1.0	0	2.0	1.0	15.0	9.0	4.0	7.0	1.0	16.0	25.0	5.0	6.0	26.0	0	0	42.0	10.0	35.0	0	6.0	4.0	6.0	9.0	9.0	10.0	13.0	5.0	4.0	1.0
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	0	0	4.0	2.0	0	0	1.0	0
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Abiotrophia	2.0	17.0	0	3.0	16.0	0	21.0	0	0	14.0	5.0	4.0	15.0	0	1.0	1.0	39.0	14.0	0	2.0	4.0	4.0	0	0	7.0	2.0	0	91.0	18.0	0	0	22.0	65.0	12.0	0	1.0	0
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae	1.0	0	0	1.0	1.0	0	0	0	0	0	2.0	2.0	3.0	0	1.0	0	2.0	2.0	1.0	0	5.0	0	1.0	6.0	2.0	8.0	0	1.0	2.0	0	1.0	2.0	3.0	1.0	0	1.0	0
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Dolosigranulum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	2.0	0	0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella	24.0	47.0	12.0	29.0	63.0	40.0	24.0	18.0	4.0	11.0	10.0	133.0	48.0	20.0	25.0	9.0	46.0	93.0	22.0	21.0	173.0	10.0	11.0	220.0	57.0	237.0	6.0	31.0	39.0	2.0	89.0	103.0	80.0	38.0	7.0	11.0	7.0
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Pilibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	2.0	0	1.0	0	0	0	0	0	0	1.0	0	0	0	39.0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	10.0	18.0	18.0	11.0	6.0	16.0	5.0	1.0	1.0	3.0	4.0	8.0	9.0	11.0	6.0	7.0	19.0	24.0	10.0	5.0	13.0	0	3.0	42.0	9.0	10.0	3.0	12.0	8.0	10.0	22.0	14.0	12.0	22.0	1.0	14.0	6.0
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	403.0	705.0	620.0	1248.0	878.0	1443.0	992.0	66.0	58.0	282.0	494.0	1316.0	707.0	470.0	440.0	87.0	877.0	731.0	646.0	731.0	886.0	92.0	247.0	2691.0	876.0	1729.0	234.0	1667.0	540.0	514.0	1711.0	1114.0	1760.0	583.0	272.0	1355.0	370.0
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_sanguinis	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Clostridia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales	24.0	40.0	1.0	68.0	22.0	81.0	68.0	161.0	107.0	89.0	158.0	16.0	8.0	72.0	143.0	29.0	5.0	12.0	46.0	60.0	15.0	27.0	96.0	34.0	9.0	1.0	119.0	39.0	11.0	152.0	30.0	28.0	16.0	9.0	53.0	53.0	86.0
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_Family_XIII._Incertae_Sedis	5.0	3.0	0	5.0	0	0	0	2.0	0	3.0	5.0	0	0	1.0	1.0	0	0	0	2.0	0	0	0	2.0	0	0	0	1.0	0	0	2.0	0	1.0	0	1.0	0	10.0	1.0
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_Family_XIII._Incertae_Sedis;g__;s__[Eubacterium]_brachy	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_Family_XIII._Incertae_Sedis;g__;s__[Eubacterium]_saphenum	0	0	0	1.0	0	0	0	13.0	5.0	0	5.0	0	2.0	8.0	2.0	2.0	0	0	8.0	6.0	0	0	5.0	0	0	0	1.0	0	0	0	0	0	0	0	0	9.0	0
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_Family_XIII._Incertae_Sedis;g__Mogibacterium	1.0	6.0	0	7.0	0	31.0	0	0	1.0	0	3.0	0	0	10.0	1.0	3.0	0	0	1.0	3.0	0	1.0	2.0	0	0	0	4.0	0	0	3.0	0	0	0	0	0	1.0	0
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Defluviitaleaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae	1.0	0	0	5.0	0	0	0	2.0	15.0	5.0	3.0	0	2.0	3.0	4.0	6.0	0	0	3.0	0	1.0	0	2.0	0	0	0	7.0	0	0	3.0	0	9.0	0	1.0	0	7.0	2.0
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__;s__Eubacteriaceae_oral_clone_P2PB_46_P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium_sp._oral_clone_FX028	0	0	0	0	0	0	0	0	7.0	0	1.0	0	0	0	0	1.0	0	0	0	0	0	0	8.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	24.0	29.0	0	43.0	28.0	48.0	197.0	28.0	54.0	23.0	86.0	58.0	18.0	79.0	90.0	41.0	6.0	30.0	30.0	42.0	19.0	24.0	52.0	32.0	13.0	3.0	30.0	16.0	50.0	86.0	18.0	52.0	65.0	6.0	40.0	10.0	18.0
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Butyrivibrio;s__Butyrivibrio_sp._oral_clone_DA074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Catonella	23.0	72.0	0	55.0	28.0	15.0	8.0	46.0	58.0	67.0	65.0	31.0	17.0	48.0	16.0	51.0	0	0	47.0	28.0	32.0	50.0	88.0	42.0	64.0	1.0	93.0	20.0	14.0	53.0	36.0	81.0	6.0	4.0	20.0	22.0	3.0
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Catonella;s__Catonella_morbi	0	0	0	0	0	0	0	1.0	1.0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	4.0	0	0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Johnsonella	24.0	47.0	0	17.0	9.0	16.0	199.0	26.0	68.0	80.0	90.0	71.0	15.0	25.0	110.0	50.0	22.0	12.0	42.0	22.0	34.0	19.0	8.0	38.0	25.0	0	63.0	62.0	32.0	58.0	2.0	18.0	22.0	1.0	26.0	49.0	54.0
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Johnsonella;s__Johnsonella_ignava	0	0	0	0	0	0	3.0	0	0	3.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoanaerobaculum	4.0	0	0	1.0	0	1.0	0	2.0	0	0	3.0	0	1.0	1.0	8.0	1.0	0	1.0	0	1.0	1.0	1.0	2.0	0	0	0	1.0	0	0	0	0	0	0	0	2.0	0	2.0
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Moryella	0	0	0	0	0	0	0	1.0	2.0	1.0	6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	3.0	0	2.0	0	0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Oribacterium	0	14.0	0	0	0	6.0	0	0	1.0	0	2.0	0	0	4.0	2.0	1.0	0	0	3.0	1.0	0	3.0	15.0	1.0	1.0	0	2.0	2.0	0	0	1.0	0	0	1.0	1.0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia	0	0	0	1.0	3.0	0	0	11.0	10.0	12.0	3.0	0	0	0	0	7.0	0	0	2.0	3.0	0	0	5.0	0	0	0	0	1.0	0	8.0	0	2.0	0	0	0	5.0	0
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Shuttleworthia	1.0	1.0	0	6.0	0	12.0	0	0	0	0	0	0	0	56.0	1.0	1.0	0	0	2.0	1.0	0	0	5.0	1.0	0	1.0	0	0	0	0	1.0	0	0	0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Stomatobaculum	3.0	5.0	0	0	0	9.0	2.0	0	1.0	0	0	1.0	0	16.0	4.0	1.0	0	1.0	4.0	1.0	1.0	6.0	10.0	6.0	0	0	5.0	1.0	1.0	4.0	2.0	0	1.0	0	0	1.0	0
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__Peptococcus	0	1.0	0	0	0	0	0	1.0	0	2.0	1.0	0	0	2.0	1.0	0	0	0	1.0	0	0	0	0	0	0	0	3.0	0	0	2.0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae	43.0	3.0	3.0	35.0	20.0	2.0	40.0	26.0	142.0	74.0	110.0	23.0	28.0	7.0	32.0	30.0	9.0	0	33.0	21.0	229.0	15.0	28.0	7.0	36.0	0	65.0	34.0	21.0	39.0	5.0	78.0	24.0	5.0	0	69.0	1.0
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Filifactor	8.0	10.0	0	24.0	2.0	0	0	25.0	56.0	14.0	34.0	0	3.0	17.0	5.0	9.0	1.0	1.0	1.0	10.0	1.0	9.0	35.0	0	0	0	10.0	0	0	22.0	0	10.0	0	4.0	0	29.0	1.0
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Peptostreptococcus	24.0	68.0	0	20.0	0	12.0	0	9.0	44.0	11.0	31.0	3.0	3.0	41.0	8.0	37.0	0	0	3.0	16.0	3.0	9.0	39.0	3.0	0	0	5.0	7.0	0	30.0	39.0	27.0	2.0	0	0	2.0	0
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	9.0	17.0	0	3.0	1.0	11.0	41.0	6.0	10.0	28.0	3.0	1.0	0	46.0	14.0	43.0	0	8.0	19.0	3.0	0	36.0	4.0	19.0	5.0	0	4.0	4.0	0	100.0	1.0	21.0	9.0	1.0	18.0	4.0	0
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Syntrophomonadaceae;g__;s__Syntrophomonadaceae_genomosp._P1	0	0	0	0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Syntrophomonadaceae;g__Pelospora	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales	1.0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae	6.0	57.0	0	3.0	5.0	3.0	0	3.0	0	2.0	1.0	0	0	7.0	4.0	5.0	0	1.0	6.0	4.0	0	1.0	10.0	2.0	3.0	0	9.0	2.0	0	24.0	22.0	2.0	1.0	0	1.0	0	1.0
sk__Bacteria;k__;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia	0	2.0	0	3.0	0	0	0	2.0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dubosiella;s__Dubosiella_newyorkensis	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Eggerthia	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Solobacterium	0	1.0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Negativicutes	1.0	1.0	0	3.0	3.0	1.0	6.0	2.0	2.0	6.0	1.0	0	1.0	0	2.0	1.0	0	1.0	8.0	4.0	0	1.0	0	3.0	1.0	1.0	5.0	0	1.0	3.0	0	1.0	3.0	0	2.0	2.0	3.0
sk__Bacteria;k__;p__Firmicutes;c__Negativicutes;o__Selenomonadales	1.0	0	1.0	0	1.0	0	0	1.0	2.0	2.0	0	0	0	5.0	3.0	3.0	0	0	1.0	0	0	2.0	1.0	0	0	0	1.0	0	0	1.0	0	0	0	1.0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae	84.0	8.0	44.0	14.0	53.0	44.0	206.0	51.0	35.0	86.0	73.0	16.0	2.0	51.0	44.0	22.0	0	14.0	49.0	26.0	0	128.0	31.0	60.0	36.0	6.0	69.0	32.0	15.0	42.0	7.0	67.0	32.0	3.0	132.0	38.0	96.0
sk__Bacteria;k__;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Selenomonas	95.0	1.0	1.0	67.0	27.0	190.0	6.0	305.0	363.0	232.0	55.0	13.0	0	502.0	462.0	208.0	0	17.0	407.0	52.0	3.0	266.0	196.0	46.0	5.0	1.0	449.0	24.0	3.0	602.0	2.0	43.0	4.0	10.0	88.0	27.0	43.0
sk__Bacteria;k__;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Selenomonas;s__Selenomonas_sp._oral_clone_JI021	0	0	0	1.0	0	0	0	0	91.0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	4.0	0	0	0	7.0	0	0	8.0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Selenomonas;s__Selenomonas_sputigena	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Sporomusaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Negativicutes;o__Veillonellales	5.0	8.0	2.0	2.0	3.0	8.0	1.0	5.0	6.0	3.0	1.0	5.0	1.0	11.0	2.0	2.0	0	5.0	9.0	1.0	3.0	6.0	7.0	11.0	0	1.0	6.0	0	3.0	4.0	4.0	6.0	1.0	6.0	3.0	3.0	8.0
sk__Bacteria;k__;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae	330.0	139.0	65.0	204.0	167.0	317.0	597.0	699.0	931.0	549.0	420.0	189.0	54.0	598.0	464.0	315.0	8.0	82.0	1169.0	458.0	65.0	844.0	623.0	342.0	135.0	19.0	2196.0	179.0	76.0	866.0	147.0	322.0	163.0	51.0	564.0	228.0	459.0
sk__Bacteria;k__;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Allisonella	0	0	0	0	0	0	0	0	0	0	0	0	0	7.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Anaeroglobus	37.0	0	0	14.0	11.0	84.0	0	60.0	33.0	1.0	3.0	0	0	49.0	10.0	15.0	0	0	214.0	2.0	0	149.0	73.0	1.0	0	0	294.0	22.0	0	247.0	0	1.0	0	3.0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Dialister	84.0	62.0	0	18.0	11.0	6.0	0	167.0	44.0	2.0	0	18.0	5.0	19.0	40.0	37.0	0	4.0	34.0	12.0	0	40.0	126.0	21.0	10.0	0	2.0	11.0	0	63.0	5.0	10.0	0	0	1.0	1.0	54.0
