#SampleID	SRR3931522	SRR3931523	SRR3931524	SRR3931525	SRR3931526	SRR3931527	SRR3931528	SRR3931529	SRR3931530	SRR3931531	SRR3931532	SRR3931533	SRR3931534	SRR3931535	SRR3931536	SRR3931537	SRR3931538	SRR3931539	SRR3931540	SRR3931541	SRR3931542	SRR3931543	SRR3931544	SRR3931545	SRR3931546	SRR3931547	SRR3931548	SRR3931549	SRR3931550	SRR3931551	SRR3931552	SRR3931553	SRR3931554	SRR3931555	SRR3931556	SRR3931557	SRR3931558
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales	1.0	0	1.0	4.0	2.0	1.0	2.0	0	0	2.0	3.0	3.0	0	1.0	2.0	3.0	2.0	0	3.0	3.0	2.0	1.0	4.0	2.0	0	0	2.0	1.0	0	1.0	0	2.0	1.0	4.0	1.0	1.0	2.0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae	15.0	1.0	51.0	10.0	37.0	16.0	11.0	1.0	1.0	18.0	12.0	40.0	12.0	12.0	22.0	14.0	28.0	15.0	23.0	38.0	11.0	9.0	6.0	27.0	16.0	5.0	10.0	19.0	11.0	4.0	16.0	13.0	9.0	22.0	50.0	16.0	44.0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium	965.0	13.0	2045.0	453.0	2836.0	1271.0	1254.0	137.0	101.0	1816.0	1393.0	3165.0	436.0	540.0	1463.0	524.0	978.0	1122.0	1243.0	3522.0	1000.0	597.0	419.0	1510.0	1086.0	388.0	953.0	1480.0	564.0	237.0	881.0	838.0	478.0	776.0	4534.0	1653.0	4236.0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Micrococcales	1.0	0	4.0	1.0	0	1.0	0	0	0	0	0	0	2.0	0	0	0	1.0	1.0	0	0	0	1.0	0	1.0	1.0	0	1.0	2.0	0	0	2.0	0	1.0	1.0	0	1.0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae	0	0	1.0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae	0	0	14.0	1.0	0	0	1.0	0	0	0	0	0	4.0	0	0	0	1.0	2.0	0	0	0	0	0	4.0	4.0	6.0	4.0	7.0	3.0	0	5.0	0	4.0	0	1.0	2.0	3.0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia	18.0	5.0	715.0	52.0	13.0	45.0	61.0	2.0	4.0	2.0	19.0	23.0	241.0	29.0	4.0	13.0	141.0	62.0	116.0	61.0	31.0	0	14.0	230.0	379.0	190.0	93.0	905.0	24.0	89.0	236.0	19.0	138.0	148.0	70.0	190.0	136.0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae	0	0	1.0	0	1.0	0	10.0	0	0	4.0	1.0	0	0	0	1.0	1.0	0	0	0	2.0	8.0	0	0	0	1.0	0	0	4.0	0	0	0	1.0	0	0	0	1.0	3.0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Aestuariimicrobium	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Pseudopropionibacterium	1.0	0	1.0	0	0	0	0	0	0	2.0	0	1.0	0	0	0	0	0	1.0	0	0	3.0	1.0	1.0	1.0	2.0	0	0	6.0	0	1.0	0	0	0	0	0	0	1.0
